speaker_id,form_id,grade,wav_path,asr_transcription,prompt,confidence_score,acoustic_score,lm_score,pitch,intensity,pause(sec),silence(sec),duration(sec)
623010201028_200,HS-1731,2.5,/share/corpus/LTTC2023/HS-1731_sliced/623010201028_200.wav,This picture probably taken on the street because many people work on it. And the box on the ground is for... is probably for money. I never seen this kind of activity before. I wouldn't be interested.  that the man is in the middle of the picture is doing. I don't think this activity is a kind of art because the man in the middle of the picture is just sitting.  if you still have time there is a policeman take his bike walking and there is many store on the house there is blue fly,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7304,0.85657,2.06244,538.5674,0.0290701150166234,0.0,0,89.43
623010201085_200,HS-1731,5.0,/share/corpus/LTTC2023/HS-1731_sliced/623010201085_200.wav,I think this picture was probably taken on the street of a pretty big city or an old town and because by judging judging by the buildings and the shops in the background and the people they're probably just taking a stroll during a weekend afternoon and the ground on the box on the ground the little one might be for people to donate some changes and the big one is that  I have seen this kind of activity before on a mall.  this kind of activity is really a kind of art because to me art is something that is special and that is really pretty that is pretty special to me and by the picture I can see that very few people are actually really they're not really enjoying this performance because they're not really looking at it as much you can look at the couple in front of the black,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7826,0.79562,1.9753,833.575,0.0873395973353978,0.0,0,89.58
623010201092_200,HS-1731,2.5,/share/corpus/LTTC2023/HS-1731_sliced/623010201092_200.wav,I think the picture is in the code I can see many people on this code somebody somebody somebody buy something and somebody look around and somebody talk with each other  there are in in this on the picture if I have,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7856,0.91307,1.93333,520.0226,0.0377476190083793,0.0,0,54.13
623010301001_200,HS-1731,2.5,/share/corpus/LTTC2023/HS-1731_sliced/623010301001_200.wav,I think this picture was taken in Russia. Because Russia is known as the soldier and army. And I saw there is a statue with a gun. So this is a symbolization about army.  I think the army is acted by someone who perform in the trade and he hopes the traveler can give him money into the box. So I think when you insert some money in the box and the state  and the stage will move his muscle and performance for somebody put money and yeah I think this is the kind of art,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7708,0.88015,2.25656,511.7392,0.0733681317357407,0.0,0,88.79
623010301002_200,HS-1731,2.5,/share/corpus/LTTC2023/HS-1731_sliced/623010301002_200.wav,I think this place is near a train station because there are many people ride a bike and near a train station there is usually many people riding a bike. This bus is for the man to do these activities. He is  like a door and start on the box. But I think it's not a good art because the people may have hard stretching if he always deny move.  And then sometimes is a It's not look good I have seen this kind of activity Two or three times is usually at a park or,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7836,0.90031,2.24434,477.8833,0.0742222223430872,0.0,0,89.09
623010301008_200,HS-1731,5.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301008_200.wav,"I think this picture was taken in America, maybe New York. Because I see Mac on the left side of the picture. And then I think the box on the ground is for people to put money in. If people like this man's performance, people could give him as much money as they want. And then yes, I have seen this kind of activity before.  I am kind of interested in what they are doing. Because I think it is really cool. I am wondering how could they do that? Stay in the same position for a very very long time and not moving. I think that is really amazing. And I think this activity is a kind of art. Because you have to pretend yourself as a statue. You cannot move.  to make yourself look like a very beautiful art so yeah it sure is a kind of art and the reason why I think it is New York this picture was taken in New York because I see English I see Mac I see those white people and those houses those buildings and the stop sign and everything I see I would guess I would say it is the picture was taken in","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7782,0.79033,1.88907,450.0567,0.1864595742638599,0.0,0,89.67
623010301010_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301010_200.wav,I think this picture is probably taken in the place of a plaza or something visitors would like to be in. Because such an artist will work in places like plazas or tourists would like to be in because they can make people pay more attention to them and focus on them.  focus more on them too and also can realize what they are doing and enjoying such a wonderful art of which they want to demonstrate to other people. And the box on the ground is made for people who want to give them some money  and those people who gave the money to them who is thinking that they are doing well and want to praise them and the question number three is I have ever seen this kind of activity before just like in Xinyi district and I'm really interested in such an activity,"Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8137,0.86934,2.04712,685.8903,0.0233944056790087,0.0,0,89.38
623010301011_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301011_200.wav,"Well as you can see there is a person standing with one leg on the street and I think that this person is a street artist and as you can see the box is on the floor which is for people to throw tokens or coins inside and why do I think it is he is a street artist because  you can see that not really everyone is looking at him but he is performing I have seen this kind of activity before but it was not so interesting because there aren't really many people around so I didn't really like it but I think it is a kind of art because  They are doing a lot of work. They like to perform and it's a kind of new style of art. It's not the old fashion. You paint on a paint, you draw or something else. It's a new kind of style. I also think that this person is really good because he's standing on one leg. I don't know if he's cheating","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.757,0.84726,1.96702,714.6621,0.047907547457085,0.0,0,89.1
623010301026_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301026_200.wav,"I think the picture was taken in maybe the street of London because I've been there once and it looked pretty similar or maybe some European streets, I don't know. Yeah, those places. And you can see a man sitting in the air with a box below. I think the box is for some tricks to maintain the people.  I have seen it everywhere, where people like the Central Park or Night Market. There are many kinds of people doing this. The tourists would give them money.  for them to earn money. I think it's a kind of art. It's pretty cool and it's pretty cool and amazing and unbelievable that how can people sit there just so still. It would be a kind of art because people appreciate it.","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.7846,0.83993,2.08726,449.8331,0.1336810804970629,0.0,0,89.8
623010301027_200,HS-1731,4.0,/share/corpus/LTTC2023/HS-1731_sliced/623010301027_200.wav,"I think this picture might be taken in Paris, eh, maybe taken in America or England because the names on the stores are all English and coconut water and so on and the box on the ground is for people who like his  art and would want to give him money to let him go on and I have seen kind of activity before at Dan Shui I think it's very interesting because he had to He had to stay in this pose for a very long time and not everyone likes it. So I think they're very  good and it's very cool I'm interested in it very much I think this activity is a kind of art because he has to stay in this mood and have to paint him into gold and it's a very it's very hard to do it because if like me I can't stay so long the picture","Where was this picture probably taken? What makes you think so? What is the box on the ground for? Have you ever seen this kind of activity before? Would you be interested in doing what the man in the middle of the picture is doing? Please explain. Do you think this activity is a kind of art? Please explain. If you still have time, please describe the picture in as much detail as you can.",0.8348,0.88576,2.05572,512.1872,0.0501770835835486,0.0,0,89.7
